stopid,stopname,stopsite,latitude,longitude,syscode,system,muni
100153,Fort at Linden (EB),EB_Fort_FS_Linden,48.4229329957658,-123.350239000653,VIC,Victoria Regional Transit System,Victoria
100155,May at Linden (WB),WB_May_FS_Linden,48.4119039695126,-123.35371400068,VIC,Victoria Regional Transit System,Victoria
100156,May at Linden (EB),EB_May_NS_Linden,48.4117760209486,-123.353983000268,VIC,Victoria Regional Transit System,Victoria
100159,Johnson at Chambers (EB),EB_Johnson_FS_Chambers,48.4255849955712,-123.350223000177,VIC,Victoria Regional Transit System,Victoria
100160,Cook at Balmoral (NB),NB_Cook_NS_Balmoral,48.4287220509646,-123.352991133858,VIC,Victoria Regional Transit System,Victoria
100161,Esquimalt at Catherine (EB),EB_Esquimalt_FS_Catherine,48.4303159959164,-123.383093000129,VIC,Victoria Regional Transit System,Victoria
100162,Fairfield at Cornwall (EB),EB_Fairfield_FS_Cornwall,48.4155489954404,-123.349371000239,VIC,Victoria Regional Transit System,Victoria
100163,May at Wellington (EB),EB_May_FS_Wellington,48.4114546766616,-123.351555127885,VIC,Victoria Regional Transit System,Victoria
100165,Yates at Ormond (WB),WB_Yates_NS_Ormond,48.424676995885,-123.348878999356,VIC,Victoria Regional Transit System,Victoria
100166,Quadra at Princess (SB),SB_Quadra_FS_Princess,48.4328196992548,-123.358412934257,VIC,Victoria Regional Transit System,Victoria
100167,Richardson at Moss (EB),EB_Richardson_FS_Moss,48.4187709957428,-123.347562000383,VIC,Victoria Regional Transit System,Victoria
100168,Linden at Faithful (NB),NB_Linden_NS_Faithful,48.4097539952109,-123.35379800021,VIC,Victoria Regional Transit System,Victoria
100169,Pandora at Chambers (WB),WB_Pandora_NS_Chambers,48.4271359955476,-123.350051999632,VIC,Victoria Regional Transit System,Victoria
100170,Bay at Turner (EB),EB_Bay_NS_Turner,48.4348359953748,-123.375397000066,VIC,Victoria Regional Transit System,Victoria
100171,Quadra at Princess (NB),NB_Quadra_FS_Princess,48.4333780686374,-123.35821005445,VIC,Victoria Regional Transit System,Victoria
100172,Cook at Caledonia (SB),SB_Cook_FS_Caledonia,48.4302259956743,-123.352993000666,VIC,Victoria Regional Transit System,Victoria
100173,Wilson at Bay (EB),EB_Wilson_NS_Bay,48.4328429710734,-123.382704414173,VIC,Victoria Regional Transit System,Victoria
100174,Richardson at Robleda (WB),WB_Richardson_FS_Robleda,48.4188619951794,-123.347114000485,VIC,Victoria Regional Transit System,Victoria
100175,Bay at Turner (WB),WB_Bay_FS_Turner,48.43506399568,-123.374881000651,VIC,Victoria Regional Transit System,Victoria
100176,Wilson at Alston (WB),WB_Wilson_NS_Alston,48.4328987640987,-123.382749626852,VIC,Victoria Regional Transit System,Victoria
100177,Douglas at Bay (SB),SB_Douglas_NS_Bay,48.4352872905924,-123.36532972204,VIC,Victoria Regional Transit System,Victoria
100178,Douglas at Field (NB),NB_Douglas_NS_Field,48.4347400661123,-123.364782835791,VIC,Victoria Regional Transit System,Victoria
100179,Cook at Caledonia (NB),NB_Cook_FS_Caledonia,48.4306621400224,-123.352730640181,VIC,Victoria Regional Transit System,Victoria
100180,Bay at Rock Bay (EB),EB_Bay_NS_Rock Bay,48.4358758310398,-123.36934451289,VIC,Victoria Regional Transit System,Victoria
100013,Menzies at Michigan (NB),NB_Menzies_FS_Michigan,48.4171679957316,-123.372808000388,VIC,Victoria Regional Transit System,Victoria
100016,Sooke at Townsend (EB),EB_Sooke_FS_Townsend,48.3783699951146,-123.722044999691,VIC,Victoria Regional Transit System,Sooke
100017,Burdett at Douglas (EB),EB_Burdett_FS_Douglas,48.4220499955301,-123.365463,VIC,Victoria Regional Transit System,Victoria
100018,Sooke at 5220 Blk (EB),EB_Sooke Rd_AT_5220 Blk,48.3890279955025,-123.642836999826,VIC,Victoria Regional Transit System,Sooke
100019,Douglas at Courtney (SB),SB_Douglas_FS_Courtney,48.4227263880499,-123.36592815151,VIC,Victoria Regional Transit System,Victoria
100021,Superior at Oswego (EB),EB_Superior_FS_Oswego,48.4193919955742,-123.376034000576,VIC,Victoria Regional Transit System,Victoria
100022,Menzies at Michigan (SB),SB_Menzies_FS_Michigan,48.4166049954219,-123.373333000423,VIC,Victoria Regional Transit System,Victoria
100024,Blanshard Terminus Bay B,Blanshard_Terminus_Bay_B,48.4212775435393,-123.363479361805,VIC,Victoria Regional Transit System,Victoria
100025,Blanshard Terminus Bay A ,Blanshard_Terminus_Bay_A,48.4218859955301,-123.364085,VIC,Victoria Regional Transit System,Victoria
100026,Government at Broughton (NB),NB_Government_FS_Broughton,48.4240626315834,-123.36798835293,VIC,Victoria Regional Transit System,Victoria
100029,Legislature Terminus Bay C,Legislature_Terminus_Bay_C,48.4189679957736,-123.368940999348,VIC,Victoria Regional Transit System,Victoria
100030,Oswego at Michigan (NB),NB_Oswego_NS_Michigan,48.4187389950948,-123.377113000223,VIC,Victoria Regional Transit System,Victoria
100031,Menzies at Simcoe (NB),NB_Menzies_FS_Simcoe,48.4155509951845,-123.373693999587,VIC,Victoria Regional Transit System,Victoria
100032,Douglas at Fort (NB),NB_Douglas_NS_Fort,48.4243724929364,-123.365326343611,VIC,Victoria Regional Transit System,Victoria
100033,Fort at Douglas (EB),EB_Fort_FS_Douglas,48.4243619134649,-123.364509351253,VIC,Victoria Regional Transit System,Victoria
100034,Douglas at Fort (SB),SB_Douglas_NS_Fort,48.4249552175753,-123.365312544571,VIC,Victoria Regional Transit System,Victoria
100035,Fairfield at Quadra (WB),WB_Fairfield_FS_Quadra,48.4202059950912,-123.360740000166,VIC,Victoria Regional Transit System,Victoria
100036,Menzies at Simcoe (SB),SB_Menzies_FS_Simcoe,48.4149609958935,-123.374470999953,VIC,Victoria Regional Transit System,Victoria
100037,Douglas at Avalon (NB),NB_Douglas_FS_Avalon,48.4148689958624,-123.366291999497,VIC,Victoria Regional Transit System,Victoria
100039,Fairfield at Quadra (EB),EB_Fairfield_NS_Quadra,48.4201819958727,-123.360993000081,VIC,Victoria Regional Transit System,Victoria
100042,Douglas at View (SB),SB_Douglas_NS_View,48.4257404117542,-123.365105609386,VIC,Victoria Regional Transit System,Victoria
100044,Oswego at St James (NB),NB_Oswego_FS_St James,48.417057995407,-123.378941999634,VIC,Victoria Regional Transit System,Victoria
100045,Fort at Blanshard (EB),EB_Fort_FS_Blanshard,48.4241581605781,-123.361824224277,VIC,Victoria Regional Transit System,Victoria
100046,Douglas at Avalon (SB),SB_Douglas_FS_Avalon,48.413573995736,-123.367266000003,VIC,Victoria Regional Transit System,Victoria
100047,Wharf at Yates (SB),SB_Wharf_NS_Yates,48.4270859952688,-123.37048499987,VIC,Victoria Regional Transit System,Victoria
100048,Yates at Broad (WB),WB_Yates_NS_Broad,48.4264301332324,-123.365695111559,VIC,Victoria Regional Transit System,Victoria
100049,Niagara at Medana (WB),WB_Niagara_FS_Medana,48.4136819955144,-123.375213000447,VIC,Victoria Regional Transit System,Victoria
100050,Government at Johnson (NB),NB_Government_NS_Johnson,48.4272209953428,-123.367229999541,VIC,Victoria Regional Transit System,Victoria
100051,Douglas at Yates (NB),NB_Douglas_FS_Yates,48.4267074038784,-123.364767336169,VIC,Victoria Regional Transit System,Victoria
100052,Niagara at Medana (EB),EB_Niagara_NS_Medana,48.4135699956194,-123.375270000621,VIC,Victoria Regional Transit System,Victoria
100053,Johnson at Store (EB),EB_Johnson_NS_Store,48.4277399957083,-123.369684000459,VIC,Victoria Regional Transit System,Victoria
100054,Niagara at Clarence (WB),WB_Niagara_NS_Clarence,48.4129859955061,-123.373735000226,VIC,Victoria Regional Transit System,Victoria
100055,Johnson at Broad (EB),EB_Johnson_FS_Broad,48.4272550048751,-123.365629090686,VIC,Victoria Regional Transit System,Victoria
100056,Fairfield at Vancouver (EB),EB_Fairfield_NS_Vancouver,48.4183589952561,-123.358643999496,VIC,Victoria Regional Transit System,Victoria
100058,Niagara at Clarence (EB),EB_Niagara_FS_Clarence,48.4128159958457,-123.373649999744,VIC,Victoria Regional Transit System,Victoria
100062,Vancouver at Collinson (SB),SB_Vancouver_FS_Collinson,48.4188809951053,-123.358205000074,VIC,Victoria Regional Transit System,Victoria
100063,Johnson at Douglas (EB),EB_Johnson_FS_Douglas,48.4270747860073,-123.363987796747,VIC,Victoria Regional Transit System,Victoria
100064,Fort at Quadra (EB),EB_Fort_FS_Quadra,48.4238706360512,-123.359174833404,VIC,Victoria Regional Transit System,Victoria
100065,Niagara at Government (WB),WB_Niagara_FS_Government,48.4122379950876,-123.372096999964,VIC,Victoria Regional Transit System,Victoria
100068,Yates at Quadra (WB),WB_Yates_FS_Quadra,48.425908150128,-123.360582339078,VIC,Victoria Regional Transit System,Victoria
100069,Quadra at View (NB),NB_Quadra_NS_View,48.4243896258138,-123.359518112954,VIC,Victoria Regional Transit System,Victoria
100072,Niagara at Government (EB),EB_Niagara_FS_Government,48.4119279957737,-123.371791000033,VIC,Victoria Regional Transit System,Victoria
100073,Fairfield at Vancouver (WB),WB_Fairfield_NS_Vancouver,48.4183719958464,-123.357997999315,VIC,Victoria Regional Transit System,Victoria
100075,Richardson at Vancouver (WB),WB_Richardson_NS_Vancouver,48.4199589954348,-123.357470999695,VIC,Victoria Regional Transit System,Victoria
100076,Douglas at Pandora (NB),NB_Douglas_NS_Pandora,48.4277198116851,-123.364508767375,VIC,Victoria Regional Transit System,Victoria
100077,Pandora at Government (WB),WB_Pandora_FS_Government,48.4285693538144,-123.36816023638,VIC,Victoria Regional Transit System,Victoria
100078,Douglas at Beacon (SB),SB_Douglas_FS_Beacon,48.4112509958732,-123.368571999477,VIC,Victoria Regional Transit System,Victoria
100079,Johnson at Blanshard (EB),EB_Johnson_FS_Blanshard,48.4267502155568,-123.361232909084,VIC,Victoria Regional Transit System,Victoria
100080,Douglas at Beacon (NB),NB_Douglas_FS_Beacon,48.4119619956813,-123.368007000587,VIC,Victoria Regional Transit System,Victoria
100082,Douglas at Cormorant (SB),SB_Douglas_NS_Cormorant,48.4286749952441,-123.36456899995,VIC,Victoria Regional Transit System,Victoria
100084,Pandora at Blanshard (WB),WB_Pandora_FS_Blanshard,48.4278649414944,-123.362439132683,VIC,Victoria Regional Transit System,Victoria
100085,Quadra at Johnson (NB),NB_Quadra_NS_Johnson,48.4261239955879,-123.35907988937,VIC,Victoria Regional Transit System,Victoria
100086,Erie at Dallas (WB),WB_Erie_NS_Dallas,48.421578995543,-123.383289999326,VIC,Victoria Regional Transit System,Victoria
100089,Oswego at Dallas (NB),NB_Oswego_FS_Dallas,48.4145029958781,-123.381660999817,VIC,Victoria Regional Transit System,Victoria
100090,Niagara at Douglas (EB),EB_Niagara_NS_Douglas,48.4106259957311,-123.368974999318,VIC,Victoria Regional Transit System,Victoria
100091,Fairfield at Cook (WB),WB_Fairfield_FS_Cook,48.4181529958639,-123.356218999894,VIC,Victoria Regional Transit System,Victoria
100092,Fairfield at Cook (EB),EB_Fairfield_NS_Cook,48.4179999953142,-123.355745999338,VIC,Victoria Regional Transit System,Victoria
100093,Johnson at Quadra (EB),EB_Johnson_FS_Quadra,48.4264671890655,-123.358604790561,VIC,Victoria Regional Transit System,Victoria
100094,Richardson at Cook (WB),WB_Richardson_FS_Cook,48.4197369953409,-123.355444000613,VIC,Victoria Regional Transit System,Victoria
100440,Cedar Hill at Hibberson (SB),SB_Cedar Hill_FS_Hibberson,48.4447679955369,-123.346924,VIC,Victoria Regional Transit System,Victoria
100441,Richmond at Coronation (SB),SB_Richmond_FS_Coronation,48.4313575331547,-123.329803410905,VIC,Victoria Regional Transit System,Victoria
100442,Hillside at Gosworth (EB),EB_Hillside_NS_Gosworth,48.4422454310633,-123.341623670942,VIC,Victoria Regional Transit System,Victoria
100443,Cook at Summit (NB),NB_Cook_FS_Summit,48.4456069956554,-123.349136369962,VIC,Victoria Regional Transit System,Victoria
100444,Munro at Plaskett (NB),NB_Munro_FS_Plaskett,48.4225306518649,-123.413823087625,VIC,Victoria Regional Transit System,Esquimalt
100445,Quadra at Tolmie (SB),SB_Quadra_FS_Tolmie,48.4487149869965,-123.362091817796,VIC,Victoria Regional Transit System,Victoria
100446,Burnside Rd E at Eldon (EB),EB_Burnside Rd E_FS_Eldon,48.4481699858991,-123.382152720974,VIC,Victoria Regional Transit System,Victoria
100447,Munro at Plaskett (SB),SB_Munro_NS_Plaskett,48.4223301730982,-123.413741081066,VIC,Victoria Regional Transit System,Esquimalt
100448,Hillside at Gosworth (WB),WB_Hillside_FS_Gosworth,48.4423771511731,-123.341757015001,VIC,Victoria Regional Transit System,Victoria
100449,Cedar Hill at Hibberson (NB),NB_Cedar Hill_FS_Hibberson,48.444973995537,-123.346528,VIC,Victoria Regional Transit System,Victoria
100450,Shelbourne at Haultain (NB),NB_Shelbourne_FS_Haultain,48.4364766866867,-123.333429965247,VIC,Victoria Regional Transit System,Victoria
100451,Richmond at Denman (NB),NB_Richmond_NS_Denman,48.4319429782537,-123.329333061177,VIC,Victoria Regional Transit System,Victoria
100452,Burnside Rd E at Balfour (WB),WB_Burnside Rd E_FS_Balfour,48.448490995538,-123.382553,VIC,Victoria Regional Transit System,Saanich
100453,Oak Bay at Chamberlain (EB),EB_Oak Bay_FS_Chamberlain,48.4263541543543,-123.326734243984,VIC,Victoria Regional Transit System,Victoria
100454,Douglas at Cloverdale (SB),SB_Douglas_NS_Cloverdale,48.4496389958029,-123.373743999473,VIC,Victoria Regional Transit System,Saanich
100455,Quadra at Tolmie (NB),NB_Quadra_FS_Tolmie,48.4493129957285,-123.361555273182,VIC,Victoria Regional Transit System,Saanich
100456,Douglas at Cloverdale (NB),NB_Douglas_FS_Cloverdale,48.44984609178,-123.373591626643,VIC,Victoria Regional Transit System,Saanich
